Title,Summary,PublicationDate,Source,URL,Category
Declassified army photos from the ’70s and ’80s look like they’ve been pulled from a magazine,"Despite the ugly realities of war, military-adjacent aesthetics have enjoyed a long affiliation with the fashion industry and pop culture at large; from the mainstream use of camoflage prints and epaulettes on the shoulders of jackets to the widespread adoption of colors such as army green and khaki. These styles have made cameos on stage of late too: at the DNC and Lollapalooza (with the Harris-Walz campaign and Chappell Roan’s “Midwest Princess” tour, respectively).",2024-10-09,CNN,https://www.cnn.com/2024/10/09/style/fashion-army-matthieu-nicol/index.html,style
Dreamlike image of tadpoles in a lake wins Wildlife Photographer of the Year 2024,A magical underwater image of western toad tadpoles has won the 2024 Wildlife Photographer of the Year competition.,2024-10-09,CNN,https://www.cnn.com/2024/10/09/travel/wildlife-photgrapher-2024-winners-scli-intl/index.html,travel
Nobel Prize in medicine goes to two American biologists for work on the discovery of microRNA,"The 2024 Nobel Prize in physiology or medicine has been awarded to US scientists Victor Ambros and Gary Ruvkun for their work on the discovery of microRNA, a molecule that governs how cells in the body function.",2024-10-07,CNN,https://www.cnn.com/2024/10/07/science/nobel-medicine-prize-discovery-microrna-victor-ambros-gary-ruvkun-intl/index.html,science
Democrats grow anxious as Election Day nears,"In the two-and-a-half months since Joe Biden ended his reelection bid, Kamala Harris swiftly secured the Democratic presidential nomination, headlined the party’s most rapturous convention since 2008, brought in hundreds of millions of dollars in new campaign donations and surged past Biden’s poll numbers from earlier this year.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/politics/democratic-anxiety-kamala-harris-2024-election/index.html,politics
Teens are feeling pressured and burned out. Here’s how to help,"Create a game plan for your life, rack up impressive grades and other achievements, and make sure you look great, too.",2024-10-10,CNN,https://www.cnn.com/2024/10/10/health/teens-pressure-burnout-wellness/index.html,health
Dress Codes: How the pussy-bow blouse became a political staple for Kamala Harris and other powerful women,"“You do not lose your feminine qualities just because you are a prime minister,” Margaret Thatcher told British TV doctor Miriam Stoppard in a 1985 interview. “I often wear bows, they are rather softening … (and) rather pretty.”",2024-10-08,CNN,https://www.cnn.com/2024/10/08/style/kamala-harris-pussy-bow-blouse/index.html,style
Small town in Thailand holds mass cremation for 23 who died in a school trip bus fire,Mourners wept and monks prayed at a cremation ceremony Tuesday in a small town in central Thailand for 23 young students and teachers who died in last week’s bus fire on a school field trip.,2024-10-09,CNN,https://www.cnn.com/2024/10/09/asia/thailand-mass-cremation-school-bus-fire-intl-hnk/index.html,asia
Voters think America’s economy stinks. There’s nothing that will change that before the election,The job market is booming. Inflation has come back down to Earth. Americans are spending like crazy.,2024-10-09,CNN,https://www.cnn.com/2024/10/09/business/economy-voters-election-data/index.html,business
"Biden held ‘direct,’ 30-minute call with Netanyahu, White House says","President Joe Biden held a “direct,” 30-minute phone call with his Israeli counterpart Benjamin Netanyahu on Wednesday, their first conversation in almost two months and a chance to confer over Israel’s planned response to an Iranian ballistic missile attack.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/politics/netanyahu-biden-harris-call/index.html,politics
Kamala Harris has raised $1 billion since launching presidential campaign,"Vice President Kamala Harris’ political team has raised $1 billion since entering the presidential race in late July, two sources familiar with the figure told CNN – marking a massive fundraising milestone in her campaign against former President Donald Trump.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/politics/harris-billion-fundraising-election/index.html,politics
Qantas apologizes after R-rated film plays on every screen during Sydney-Tokyo flight,Things got unexpectedly racy  onboard a recent Qantas flight when an R-rated film was played on all the aircraft’s screens.,2024-10-07,CNN,https://www.cnn.com/2024/10/07/travel/qantas-r-rated-movie-inflight-daddio-intl-hnk/index.html,travel
The Gap comeback that might actually be working,"Zac Posen points, emphatically, to a wall of blue — or rather a section of the wall filled with various swatches of navy and indigo, each imprinted with Gap’s narrow serif font logo on top.",2024-10-02,CNN,https://www.cnn.com/2024/10/02/style/zac-posen-gap-bof/index.html,style
"Scientists grow mystery tree from 1,000-year-old seed","“Jurassic Park,” and its genetically modified dinosaur escapees, is pure science fiction — it’s never going to happen. But it doesn’t mean that scientists aren’t interested in bringing the past back to life in some form.",2024-10-05,CNN,https://www.cnn.com/2024/10/05/science/ancient-seed-biblical-tree-wt-science-newsletter/index.html,science
What this high school senior wants adults to know about classroom phone bans,"When my friends and I walked into homeroom on the first day of school this year, my teacher told all of us to put our phones in a black plastic box on an old desk by the classroom door.",2024-10-08,CNN,https://www.cnn.com/2024/10/08/health/school-phone-ban-student-perspective-wellness/index.html,health
Comet likely last seen when Neanderthals walked Earth could soon dazzle in the night sky,"A recently discovered comet, known as C/2023 A3 Tsuchinshan–ATLAS, will make its closest approach of Earth on Saturday. Sky-gazers won’t want to miss the event since it may be the last time the comet will be seen in the night sky for another 80,000 years.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/science/comet-tsuchinshan-atlas-earth/index.html,science
What a doctor wishes women knew about their breasts,"It’s time to think about your breasts — not just this month because it’s Breast Cancer Awareness Month, but every month.",2024-10-08,CNN,https://www.cnn.com/2024/10/08/health/breast-cancer-awareness-wellness/index.html,health
Investors went wild for China during its big holiday. But Chinese shoppers showed little of that optimism,Global investors went wild during China’s just-concluded Golden Week holiday by snapping up “everything” related to the country. But that optimism didn’t extend to shoppers and travelers in the world’s second-largest economy itself.,2024-10-10,CNN,https://www.cnn.com/2024/10/10/business/china-golden-week-travel-spending-hnk-intl/index.html,business
"Pilot dies aboard Turkish Airlines flight, forcing emergency landing in New York","A Turkish Airlines jetliner headed from Seattle to Istanbul made an emergency landing in New York on Wednesday after the captain died on board, an airline official said.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/us/turkish-airlines-pilot-emergency-landing/index.html,us
Hezbollah publicly endorses Lebanon ceasefire efforts for the first time as Israel ramps up offensive,"Hezbollah supports efforts aimed at achieving a ceasefire in Lebanon, its top official said on Tuesday, marking the first time the group has publicly endorsed a truce and not conditioned it on stopping the war in Gaza.",2024-10-08,CNN,https://www.cnn.com/2024/10/08/middleeast/hezbollah-endorses-lebanon-ceasefire-first-time-israel-war-intl/index.html,middleeast
Recession fears are fading. Now it’s time for America’s companies to back that up,"Hopes for avoiding a recession are growing on Wall Street. Now, investors are looking for the coming earnings season to support that optimism.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/investing/earnings-companies-stocks/index.html,investing
The undeniable crisis that’s not driving American voters,"Warm water in the Gulf of Mexico that was predicted by climate scientists to feed harsher hurricanes helped supercharge September’s Hurricane Helene. That was before October’s monster storm, Milton, struck – the destruction of which will become clear in the days to come.",2024-10-09,CNN,https://www.cnn.com/2024/10/09/politics/climate-change-voters-what-matters/index.html,politics
